character_id,character,slot,source_status,source_move_id,source_command,hit_level,startup,active,recovery,damage,range,hitstun,blockstun,pushback,whiff_recovery,launches
8,xiaoyu,f2,frame_data,fp2,f+2,mid,16,3,22,12.0,1.25,26,17,0.16,4,0
8,xiaoyu,db3,frame_data,dbp3,db+3,low,15,3,24,10.0,0.9,26,16,0.06,0,0
8,xiaoyu,hopkick,frame_data,ufp4,uf+4,mid,23,4,30,20.0,0.88,34,23,0.18,4,1
8,xiaoyu,throw,frame_data,1p3,1+3,throw,12,2,24,35.0,0.48,25,18,0.22,0,0
9,nina,jab,frame_data,1,1,high,10,2,13,5.0,0.82,21,5,0.08,0,0
9,nina,df1,frame_data,dfp1,df+1,mid,13,3,18,10.0,0.95,23,17,0.11,0,0
9,nina,f2,frame_data,fp2,f+2,high,13,3,22,12.0,1.25,30,19,0.16,4,0
9,nina,db3,frame_data,dbp3,db+3,low,20,3,24,17.0,0.9,28,11,0.06,0,0
9,nina,hopkick,frame_data,ufp4,uf+4,high,18,4,30,23.0,0.88,29,21,0.18,4,1
9,nina,throw,frame_data,dfp1p3,df+1+3,throw,11,2,24,37.0,0.48,25,22,0.22,0,0
10,leroy,jab,frame_data,1,1,high,10,2,13,5.0,0.82,21,5,0.08,0,0
10,leroy,df1,frame_data,dfp1,df+1,mid,13,3,18,10.0,0.95,23,12,0.11,0,0
10,leroy,f2,frame_data,fp2,f+2,high,14,3,22,15.0,1.25,24,13,0.16,4,0
10,leroy,db3,frame_data,dbp3,db+3,low,20,3,24,12.0,0.9,29,16,0.06,0,0
10,leroy,hopkick,frame_data,ufp4,uf+4,mid,23,4,30,22.0,0.88,51,22,0.18,4,1
10,leroy,throw,frame_data,1p3,1+3,throw,12,2,24,35.0,0.48,30,21,0.22,0,0
11,asuka,jab,frame_data,1,1,high,10,2,13,5.0,0.82,22,11,0.08,0,0
11,asuka,df1,frame_data,dfp1,df+1,mid,13,3,18,10.0,0.95,26,15,0.11,0,0
11,asuka,f2,frame_data,fp2,f+2,mid,17,3,22,20.0,1.25,55,4,0.16,4,0
11,asuka,db3,frame_data,dbp3,db+3,low,20,3,24,17.0,0.9,28,12,0.06,0,0
11,asuka,hopkick,frame_data,ufp4,uf+4,mid,20,4,30,25.0,0.88,61,17,0.18,4,1
11,asuka,throw,frame_data,1p3,1+3,throw,12,2,24,35.0,0.48,24,22,0.22,0,0
12,lili,jab,frame_data,1,1,high,10,2,13,5.0,0.82,21,5,0.08,0,0
12,lili,df1,frame_data,dfp1,df+1,mid,13,3,18,10.0,0.95,26,17,0.11,0,0
12,lili,f2,frame_data,fp2,f+2,high,12,3,22,10.0,1.25,21,13,0.16,4,0
12,lili,db3,frame_data,dbp3,db+3,high,19,3,24,22.0,0.9,58,15,0.06,0,0
12,lili,hopkick,frame_data,ufp4,uf+4,mid,25,4,30,18.0,0.88,31,18,0.18,4,1
12,lili,throw,frame_data,1p3,1+3,throw,12,2,24,35.0,0.48,24,21,0.22,0,0
13,bryan,jab,frame_data,1,1,high,10,2,13,5.0,0.82,21,5,0.08,0,0
13,bryan,df1,frame_data,dfp1,DF+1,mid,15,3,18,8.0,0.95,19,13,0.11,0,0
13,bryan,f2,frame_data,fp2,f+2,mid,15,3,22,10.0,1.25,23,12,0.16,4,0
13,bryan,db3,frame_data,dbp3,db+3,low,16,3,24,11.0,0.9,23,12,0.06,0,0
13,bryan,hopkick,frame_data,ufp4,uf+4,mid,24,4,30,20.0,0.88,56,25,0.18,4,1
13,bryan,throw,frame_data,fc_dbp1p2,FC.db+1+2,throw,11,2,24,45.0,0.48,25,18,0.22,0,0
14,hwoarang,jab,frame_data,1,1,high,10,2,13,5.0,0.82,21,5,0.08,0,0
14,hwoarang,df1,frame_data,dfp1,df+1,mid,13,3,18,10.0,0.95,24,17,0.11,0,0
14,hwoarang,f2,frame_data,fp2,f+2,mid,16,3,22,15.0,1.25,31,20,0.16,4,0
14,hwoarang,db3,frame_data,dbp3,db+3,low,19,3,24,12.0,0.9,23,11,0.06,0,0
14,hwoarang,hopkick,frame_data,ufp4,uf+4,high,22,4,30,12.0,0.88,34,28,0.18,4,1
14,hwoarang,throw,frame_data,qcbp3,qcb+3,throw,11,2,24,45.0,0.48,19,22,0.22,0,0
15,claudio,jab,frame_data,1,1,high,10,2,13,5.0,0.82,21,5,0.08,0,0
15,claudio,df1,frame_data,dfp1,df+1,mid,15,3,18,10.0,0.95,25,14,0.11,0,0
15,claudio,f2,frame_data,fp2,f+2,high,12,3,22,9.0,1.25,28,14,0.16,4,0
15,claudio,db3,frame_data,dbp3,db+3,low,21,3,24,17.0,0.9,27,9,0.06,0,0
15,claudio,hopkick,frame_data,ufp4,uf+4,mid,15,4,30,13.0,0.88,63,17,0.18,4,1
15,claudio,throw,frame_data,1p3,1+3,throw,12,2,24,35.0,0.48,25,21,0.22,0,0
16,azucena,jab,frame_data,1,1,high,10,2,13,5.0,0.82,21,5,0.08,0,0
16,azucena,df1,frame_data,dfp1,df+1,mid,13,3,18,11.0,0.95,26,15,0.11,0,0
16,azucena,f2,frame_data,fp2,f+2,high,17,3,22,14.0,1.25,23,12,0.16,4,0
16,azucena,db3,frame_data,dbp3,db+3,low,16,3,24,14.0,0.9,28,17,0.06,0,0
16,azucena,hopkick,frame_data,ufp4,uf+4,mid,24,4,30,22.0,0.88,51,22,0.18,4,1
16,azucena,throw,frame_data,ufp1p2,uf+1+2,throw,11,2,24,40.0,0.48,21,16,0.22,0,0
17,raven,jab,frame_data,1,1,high,10,2,13,5.0,0.82,21,5,0.08,0,0
17,raven,df1,frame_data,dfp1,df+1,mid,14,3,18,13.0,0.95,26,16,0.11,0,0
17,raven,f2,frame_data,fp2,f+2,mid,15,3,22,10.0,1.25,21,10,0.16,4,0
17,raven,db3,frame_data,dbp3,db+3,low,28,3,24,19.0,0.9,29,12,0.06,0,0
17,raven,hopkick,frame_data,ufp4,uf+4,mid,20,4,30,14.0,0.88,52,21,0.18,4,1
17,raven,throw,frame_data,dfp1p4,df+1+4,throw,11,2,24,35.0,0.48,24,22,0.22,0,0
18,leo,jab,frame_data,1,1,high,10,2,13,5.0,0.82,21,5,0.08,0,0
18,leo,df1,frame_data,dfp1,df+1,mid,13,3,18,13.0,0.95,25,17,0.11,0,0
18,leo,f2,frame_data,fp2,f+2,high,14,3,22,14.0,1.25,28,14,0.16,4,0
18,leo,db3,frame_data,dbp3,db+3,high,31,3,24,23.0,0.9,62,16,0.06,0,0
18,leo,hopkick,frame_data,ufp4,uf+4,mid,15,4,30,15.0,0.88,63,17,0.18,4,1
18,leo,throw,frame_data,1p3,1+3,throw,12,2,24,35.0,0.48,24,21,0.22,0,0
19,steve,jab,frame_data,1,1,high,10,2,13,5.0,0.82,21,5,0.08,0,0
19,steve,df1,frame_data,dfp1,df+1,mid,13,3,18,12.0,0.95,23,16,0.11,0,0
19,steve,f2,frame_data,fp2,f+2,mid,21,3,22,11.0,1.25,27,16,0.16,4,0
19,steve,db3,frame_data,dbp3,db+3,low,16,3,24,10.0,0.9,24,11,0.06,0,0
19,steve,hopkick,frame_data,ufp4,uf+4,mid,23,4,30,20.0,0.88,52,21,0.18,4,1
19,steve,throw,frame_data,swy_1p2,SWY.1+2,throw,10,2,24,25.0,0.48,25,22,0.22,0,0
20,kuma,jab,frame_data,1,1,high,10,2,13,5.0,0.82,21,5,0.08,0,0
20,kuma,df1,frame_data,dfp1,df+1,mid,15,3,18,6.0,0.95,20,12,0.11,0,0
20,kuma,f2,frame_data,fp2,f+2,high,12,3,22,11.0,1.25,25,9,0.16,4,0
20,kuma,db3,frame_data,dbp3,db+3,low,18,3,24,12.0,0.9,25,12,0.06,0,0
20,kuma,hopkick,frame_data,ufp4,uf+4,mid,29,4,30,20.0,0.88,20,24,0.18,4,1
20,kuma,throw,frame_data,1p3,1+3,throw,12,2,24,35.0,0.48,25,21,0.22,0,0
21,yoshimitsu,jab,frame_data,1,1,high,10,2,13,5.0,0.82,21,5,0.08,0,0
21,yoshimitsu,df1,frame_data,dfp1,df+1,mid,13,3,18,14.0,0.95,23,14,0.11,0,0
21,yoshimitsu,f2,frame_data,fp2,f+2,high,17,3,22,18.0,1.25,36,18,0.16,4,0
21,yoshimitsu,db3,frame_data,dbp3,db+3,low,18,3,24,8.0,0.9,10,0,0.06,0,0
21,yoshimitsu,hopkick,frame_data,ufp4,uf+4,mid,20,4,30,21.0,0.88,52,21,0.18,4,1
21,yoshimitsu,throw,frame_data,ufp1p2,uf+1+2,throw,11,2,24,40.0,0.48,25,16,0.22,0,0
22,shaheen,jab,frame_data,1,1,high,10,2,13,5.0,0.82,21,5,0.08,0,0
22,shaheen,df1,frame_data,dfp1,df+1,mid,13,3,18,12.0,0.95,23,17,0.11,0,0
22,shaheen,f2,frame_data,fp2,f+2,high,12,3,22,10.0,1.25,20,14,0.16,4,0
22,shaheen,db3,frame_data,dbp3,db+3,low,20,3,24,12.0,0.9,18,7,0.06,0,0
22,shaheen,hopkick,frame_data,ufp4,uf+4,mid,15,4,30,13.0,0.88,63,17,0.18,4,1
22,shaheen,throw,frame_data,1p3,1+3,throw,12,2,24,35.0,0.48,24,21,0.22,0,0
23,dragunov,jab,frame_data,1,1,high,10,2,13,5.0,0.82,21,5,0.08,0,0
23,dragunov,df1,frame_data,dfp1,df+1,mid,13,3,18,13.0,0.95,25,16,0.11,0,0
23,dragunov,f2,frame_data,fp2,f+2,high,19,3,22,16.0,1.25,25,14,0.16,4,0
23,dragunov,db3,frame_data,dbp3,db+3,low,27,3,24,17.0,0.9,22,0,0.06,0,0
23,dragunov,hopkick,frame_data,ufp4,uf+4,mid,22,4,30,21.0,0.88,49,21,0.18,4,1
23,dragunov,throw,frame_data,fp1p4,f+1+4,throw,11,2,24,40.0,0.48,24,22,0.22,0,0
24,feng,jab,frame_data,1,1,high,10,2,13,5.0,0.82,21,5,0.08,0,0
24,feng,df1,frame_data,dfp1,df+1,mid,14,3,18,11.0,0.95,24,10,0.11,0,0
24,feng,f2,frame_data,fp2,f+2,mid,15,3,22,10.0,1.25,25,14,0.16,4,0
24,feng,db3,frame_data,dbp3,db+3,low,17,3,24,14.0,0.9,28,9,0.06,0,0
24,feng,hopkick,frame_data,ufp4,uf+4,mid,15,4,30,13.0,0.88,63,17,0.18,4,1
24,feng,throw,frame_data,1p3,1+3,throw,12,2,24,35.0,0.48,20,18,0.22,0,0
25,panda,jab,frame_data,1,1,high,10,2,13,5.0,0.82,21,5,0.08,0,0
25,panda,df1,frame_data,dfp1,df+1,mid,15,3,18,6.0,0.95,20,12,0.11,0,0
25,panda,f2,frame_data,fp2,f+2,high,12,3,22,11.0,1.25,25,9,0.16,4,0
25,panda,db3,frame_data,dbp3,db+3,low,18,3,24,12.0,0.9,25,12,0.06,0,0
25,panda,hopkick,frame_data,ufp4,uf+4,mid,29,4,30,20.0,0.88,20,24,0.18,4,1
25,panda,throw,frame_data,1p3,1+3,throw,12,2,24,35.0,0.48,25,21,0.22,0,0
26,lee,jab,frame_data,1,1,high,10,2,13,5.0,0.82,21,5,0.08,0,0
26,lee,df1,frame_data,dfp1,df+1,mid,13,3,18,10.0,0.95,23,17,0.11,0,0
26,lee,f2,frame_data,fp2,f+2,mid,14,3,22,12.0,1.25,24,13,0.16,4,0
26,lee,db3,frame_data,dbp3,db+3,low,20,3,24,12.0,0.9,23,12,0.06,0,0
26,lee,hopkick,frame_data,ufp4,uf+4,mid,15,4,30,14.0,0.88,61,17,0.18,4,1
26,lee,throw,frame_data,1p3,1+3,throw,12,2,24,35.0,0.48,22,21,0.22,0,0
27,alisa,jab,frame_data,1,1,high,10,2,13,5.0,0.82,21,5,0.08,0,0
27,alisa,df1,frame_data,dfp1,df+1,mid,13,3,18,10.0,0.95,23,12,0.11,0,0
27,alisa,f2,frame_data,fp2,f+2,mid,17,3,22,12.0,1.25,29,18,0.16,4,0
27,alisa,db3,frame_data,dbp3,db+3,low,16,3,24,11.0,0.9,22,11,0.06,0,0
27,alisa,hopkick,frame_data,ufp4,uf+4,mid,15,4,30,8.0,0.88,26,15,0.18,4,1
27,alisa,throw,frame_data,fc_dbp1p2,FC.db+1+2,throw,11,2,24,45.0,0.48,20,20,0.22,0,0
28,zafina,jab,frame_data,1,1,high,10,2,13,5.0,0.82,21,5,0.08,0,0
28,zafina,df1,frame_data,dfp1,df+1,mid,13,3,18,10.0,0.95,25,13,0.11,0,0
28,zafina,f2,frame_data,fp2,f+2,mid,19,3,22,17.0,1.25,16,4,0.16,4,0
28,zafina,db3,frame_data,dbp3,db+3,low,18,3,24,13.0,0.9,27,16,0.06,0,0
28,zafina,hopkick,frame_data,ufp4,uf+4,mid,17,4,30,18.0,0.88,59,17,0.18,4,1
28,zafina,throw,frame_data,1p3,1+3,throw,12,2,24,35.0,0.48,24,20,0.22,0,0
29,devil-jin,jab,frame_data,1,1,high,10,2,13,5.0,0.82,21,5,0.08,0,0
29,devil-jin,df1,frame_data,dfp1,df+1,mid,13,3,18,11.0,0.95,23,12,0.11,0,0
29,devil-jin,f2,frame_data,fp2,f+2,mid,17,3,22,14.0,1.25,25,14,0.16,4,0
29,devil-jin,db3,frame_data,dbp3,db+3,low,16,3,24,10.0,0.9,18,7,0.06,0,0
29,devil-jin,hopkick,frame_data,ufp4,uf+4,mid,18,4,30,21.0,0.88,41,22,0.18,4,1
29,devil-jin,throw,frame_data,1p3,1+3,throw,12,2,24,35.0,0.48,26,16,0.22,0,0
30,victor,jab,frame_data,1,1,high,10,2,13,5.0,0.82,21,5,0.08,0,0
30,victor,df1,frame_data,dfp1,df+1,mid,13,3,18,10.0,0.95,22,16,0.11,0,0
30,victor,f2,frame_data,fp2,f+2,high,13,3,22,10.0,1.25,27,11,0.16,4,0
30,victor,db3,frame_data,dbp3,db+3,high,19,3,24,20.0,0.9,91,13,0.06,0,0
30,victor,hopkick,frame_data,ufp4,uf+4,mid,15,4,30,28.0,0.88,103,11,0.18,4,1
30,victor,throw,frame_data,1p3,1+3,throw,12,2,24,35.0,0.48,22,21,0.22,0,0
31,reina,jab,frame_data,1,1,high,10,2,13,5.0,0.82,21,5,0.08,0,0
31,reina,df1,frame_data,dfp1,df+1,mid,13,3,18,8.0,0.95,22,15,0.11,0,0
31,reina,f2,frame_data,fp2,f+2,high,13,3,22,8.0,1.25,19,13,0.16,4,0
31,reina,db3,frame_data,dp1,d+1,low,10,3,24,5.0,0.9,30,19,0.06,0,0
31,reina,hopkick,frame_data,ufp4,uf+4,mid,17,4,30,15.0,0.88,100,17,0.18,4,1
31,reina,throw,frame_data,1p3,1+3,throw,12,2,24,35.0,0.48,24,21,0.22,0,0
32,eddy,jab,frame_data,1,1,high,10,2,13,5.0,0.82,21,5,0.08,0,0
32,eddy,df1,frame_data,dfp1,df+1,mid,13,3,18,10.0,0.95,24,15,0.11,0,0
32,eddy,f2,frame_data,fp2,f+2,mid,18,3,22,15.0,1.25,28,13,0.16,4,0
32,eddy,db3,frame_data,dbp3,db+3,low,28,3,24,21.0,0.9,29,10,0.06,0,0
32,eddy,hopkick,frame_data,ufp4,uf+4,mid,22,4,30,20.0,0.88,42,21,0.18,4,1
32,eddy,throw,frame_data,1p3,1+3,throw,12,2,24,35.0,0.48,17,19,0.22,0,0
33,lidia,jab,frame_data,1,1,high,10,2,13,5.0,0.82,21,5,0.08,0,0
33,lidia,df1,frame_data,dfp1,df+1,mid,13,3,18,13.0,0.95,20,13,0.11,0,0
33,lidia,f2,frame_data,fp2,f+2,high,12,3,22,10.0,1.25,26,15,0.16,4,0
33,lidia,db3,frame_data,dbp3,db+3,low,16,3,24,17.0,0.9,31,13,0.06,0,0
33,lidia,hopkick,frame_data,ufp4,uf+4,mid,15,4,30,26.0,0.88,99,25,0.18,4,1
33,lidia,throw,frame_data,1p3,1+3,throw,12,2,24,35.0,0.48,28,21,0.22,0,0
34,heihachi,jab,frame_data,1,1,high,10,2,13,5.0,0.82,21,5,0.08,0,0
34,heihachi,df1,frame_data,dfp1,df+1,mid,13,3,18,10.0,0.95,25,13,0.11,0,0
34,heihachi,f2,frame_data,fp2,f+2,high,15,3,22,13.0,1.25,24,13,0.16,4,0
34,heihachi,db3,frame_data,dbp3,db+3,low,16,3,24,10.0,0.9,22,11,0.06,0,0
34,heihachi,hopkick,frame_data,ufp4,uf+4,mid,24,4,30,17.0,0.88,73,21,0.18,4,1
34,heihachi,throw,frame_data,1p3,1+3,throw,12,2,24,35.0,0.48,23,21,0.22,0,0
35,clive,jab,frame_data,1,1,high,10,2,13,5.0,0.82,21,5,0.08,0,0
35,clive,df1,frame_data,dfp1,df+1,mid,14,3,18,10.0,0.95,22,15,0.11,0,0
35,clive,f2,frame_data,fp2,f+2,mid,15,3,22,10.0,1.25,18,10,0.16,4,0
35,clive,db3,frame_data,fc_1,FC.1,low,10,3,24,5.0,0.9,30,19,0.06,0,0
35,clive,hopkick,abstract_fallback,,,mid,15,4,30,21.0,0.88,36,22,0.18,4,1
35,clive,throw,frame_data,1p3,1+3,throw,12,2,24,35.0,0.48,24,19,0.22,0,0
36,anna,jab,frame_data,1,1,high,10,2,13,5.0,0.82,21,5,0.08,0,0
36,anna,df1,frame_data,dfp1,df+1,mid,13,3,18,10.0,0.95,23,17,0.11,0,0
36,anna,f2,frame_data,fp2,f+2,high,14,3,22,14.0,1.25,26,20,0.16,4,0
36,anna,db3,frame_data,dbp3,db+3,low,30,3,24,21.0,0.9,92,0,0.06,0,0
36,anna,hopkick,frame_data,ufp4,uf+4,mid,18,4,30,24.0,0.88,57,12,0.18,4,1
36,anna,throw,frame_data,ham_1p3,HAM.1+3,throw,11,2,24,15.0,0.48,24,22,0.22,0,0
37,fahkumram,jab,frame_data,1,1,high,10,2,13,5.0,0.82,21,5,0.08,0,0
37,fahkumram,df1,frame_data,dfp1,df+1,mid,15,3,18,12.0,0.95,24,15,0.11,0,0
37,fahkumram,f2,frame_data,fp2,f+2,mid,15,3,22,14.0,1.25,22,13,0.16,4,0
37,fahkumram,db3,frame_data,1_2_4_4,"1,2,4,4",high,10,3,24,38.0,0.9,20,9,0.06,0,0
37,fahkumram,hopkick,frame_data,ufp4,uf+4,mid,20,4,30,22.0,0.88,96,14,0.18,4,1
37,fahkumram,throw,frame_data,1p3,1+3,throw,12,2,24,35.0,0.48,24,21,0.22,0,0
38,armor-king,jab,frame_data,1,1,high,10,2,13,5.0,0.82,21,5,0.08,0,0
38,armor-king,df1,frame_data,dfp1,df+1,mid,13,3,18,12.0,0.95,25,15,0.11,0,0
38,armor-king,f2,frame_data,fp2,f+2,mid,15,3,22,12.0,1.25,24,11,0.16,4,0
38,armor-king,db3,frame_data,dbp3,db+3,low,22,3,24,26.0,0.9,30,0,0.06,0,0
38,armor-king,hopkick,frame_data,ufp4,uf+4,mid,15,4,30,13.0,0.88,63,17,0.18,4,1
38,armor-king,throw,frame_data,wall_1p3,WALL.1+3,throw,10,2,24,45.0,0.48,24,16,0.22,0,0
39,miary-zo,jab,frame_data,1,1,high,10,2,13,5.0,0.82,21,5,0.08,0,0
39,miary-zo,df1,frame_data,dfp1,df+1,mid,13,3,18,10.0,0.95,23,16,0.11,0,0
39,miary-zo,f2,frame_data,fp2,f+2,mid,20,3,22,23.0,1.25,27,9,0.16,4,0
39,miary-zo,db3,frame_data,dbp3,db+3,low,22,3,24,21.0,0.9,29,0,0.06,0,0
39,miary-zo,hopkick,frame_data,ufp4,uf+4,mid,15,4,30,10.0,0.88,23,15,0.18,4,1
39,miary-zo,throw,frame_data,1p3,1+3,throw,12,2,24,35.0,0.48,19,15,0.22,0,0
40,kunimitsu,jab,frame_data,1,1,high,10,2,13,5.0,0.82,21,5,0.08,0,0
40,kunimitsu,df1,frame_data,dfp1,df+1,mid,13,3,18,10.0,0.95,23,16,0.11,0,0
40,kunimitsu,f2,frame_data,fp2,f+2,high,13,3,22,12.0,1.25,24,13,0.16,4,0
40,kunimitsu,db3,frame_data,dbp3,db+3,low,18,3,24,8.0,0.9,10,9,0.06,0,0
40,kunimitsu,hopkick,frame_data,ufp4,uf+4,mid,24,4,30,22.0,0.88,50,22,0.18,4,1
40,kunimitsu,throw,frame_data,fp1p4,f+1+4,throw,11,2,24,38.0,0.48,24,21,0.22,0,0
41,bob,jab,abstract_fallback,,,high,10,2,13,7.0,0.82,19,5,0.08,0,0
41,bob,df1,abstract_fallback,,,mid,13,3,18,12.0,0.95,24,10,0.11,0,0
41,bob,f2,abstract_fallback,,,mid,16,3,22,18.0,1.25,28,14,0.16,4,0
41,bob,db3,abstract_fallback,,,low,18,3,24,10.0,0.9,30,16,0.06,0,0
41,bob,hopkick,abstract_fallback,,,mid,15,4,30,21.0,0.88,36,22,0.18,4,1
41,bob,throw,abstract_fallback,,,throw,12,2,24,25.0,0.48,30,16,0.22,0,0
